#TYPE System.Management.Automation.PSCustomObject
"Name","ID","Club","Position","age","Projected_2017","2012_FirstHalf","2012_SecondHalf","2013_FirstHalf","2013_SecondHalf","2014_FirstHalf","2014_SecondHalf","2015_FirstHalf","2015_SecondHalf","2016_FirstHalf","2016_SecondHalf"
"Dylan Roberton","1056","St Kilda","DEF","25","82.56447897","58.7142857142857","50.3333333333333","71.5555555555556","84.7272727272727","55.4","46","96.6","89.3","87.0909090909091","72.1428571428571"
"Gary Rohan","1058","Sydney Swans","FWD","25","64.14246603",,"50.25","38.3333333333333",,"65.3333333333333","39.75","51.2","60.1818181818182","58.1818181818182","81.3333333333333"
"Tom Scully","1061","GWS Giants","MID","25","102.7374443","75","78.5555555555556","85.1","74","82.8","88.4","79.5","91.9090909090909","97","105.272727272727"
"Sam Shaw","1062","Adelaide Crows","DEF","25","43.17281368","79.7","89.5","60.5",,"55","55.4","42.5",,,
"Brad Sheppard","1063","West Coast Eagles","DEF","25","74.34035296","53.8571428571429","65.4","52.5","57.1428571428571","70.8","73","86.7272727272727","76.6363636363636","66.5454545454545","79.8181818181818"
"Ben Sinclair","1066","Collingwood","DEF","25","65.79458663","47.8571428571429","55.2727272727273","60.6666666666667","51.6666666666667","54.3333333333333","77","65.25","45.5","69.1666666666667","61"
"Koby Stevens","1067","St Kilda","MID,FWD","25","92.94852827","23.5","59","75.2","68.4444444444444","66.3333333333333","77","79.5","96.125","87","94.7142857142857"
"Ben Stratton","1068","Hawthorn","DEF","27","68.37517403","66.3636363636364","70.7272727272727","68.75","84.3","74.125","57.25","54.8181818181818","70.5","60","72.2727272727273"
"Daniel Talia","1072","Adelaide Crows","DEF","25","92.53296107","54.0833333333333","53.3","67.0909090909091","60.3636363636364","55.4166666666667","76.6","55.6","60.9","88.9090909090909","93.2727272727273"
"Zach Tuohy","1079","Geelong Cats","DEF","27","86.28435063","44","59.7272727272727","67.2727272727273","62.3636363636364","62.75","64.8","80.6666666666667","78","89.7272727272727","79.6363636363636"
"Nathan Vardy","1081","West Coast Eagles","RUC","25","92.10200251","67",,"79.4","66.5",,,"90.6666666666667",,,"56"
"Simon White","1088","Carlton","DEF","28","71.52941176","60.2",,"21","62.625","60.0909090909091","59.625","60.75","46.6666666666667","73.4545454545455","68"
